Fecha,Emisor,Respuesta para ,Texto
12/07/2025 07:48,Vicente,,Buenos días!!! No les mandé audio para dejarlos dormir
12/07/2025 07:48,Vicente,,Oye
12/07/2025 07:49,Vicente,,"Me marcó Luis que porque el administrador se quejó que estamos haciendo mudanza y no avisamos…le dije que para nada, pero con qué cara se queja de no avisar"
12/07/2025 07:56,Tania,,No estamos haciendo mudanza ya vendí la cama de demian para pasar la otra a su recámara
12/07/2025 07:56,Tania,,Y vinieron por ella
12/07/2025 07:56,Tania,,Que no mame
12/07/2025 07:56,Tania,,Ahorita te contesto
12/07/2025 08:00,Vicente,,Palabras de Luis “polo (el administrador) ya se me está yendo a la yugular” le dije que no se pase que si de no avisar se trata mejor no hablemos
12/07/2025 08:01,Vicente,,Ahorita que puedas me marcas
12/07/2025 08:01,Vicente,,Con calma
12/07/2025 08:03,Tania,,Si ahorita que ya se lleven la recámara te aviso
12/07/2025 08:03,Tania,,Y pues si que no mame
12/07/2025 08:03,Vicente,,Me enojé
12/07/2025 08:03,Tania,,Esto es una recámara no una fiesta a las 12 a 3 am
12/07/2025 08:03,Vicente,,Jaja pinche viejo
12/07/2025 08:03,Vicente,,Es lo que le dije
12/07/2025 08:03,Tania,,Si pues nada más andaba buscando que verga
12/07/2025 08:03,Tania,,Y si me lo topo ahorira si le voy a decir
12/07/2025 08:04,Vicente,,Luis no es lo mismo bajar una cama matrimonial que aguantar niños borrachos en las escaleras a media noche
12/07/2025 08:04,Tania,,Que esto no es una puta fiesta de escuincles corriendo a las 3 am por el edificio sin avisar
12/07/2025 08:04,Tania,"➜ Respuesta para usted, 2025-07-12 08:04:00: « Luis no es lo mismo bajar una cama matrimonial que aguantar niños borrachos en las escaleras a m... »",Exacto
12/07/2025 08:04,Vicente,,Cuando hablemos te cuento con detalle
12/07/2025 08:04,Tania,,Y que aparte hacen destrozos como cuando bañaron la camioneta de refresco así que no
12/07/2025 08:04,Tania,,Que se vaya alv
12/07/2025 08:04,Vicente,,No te vayas a pelear
12/07/2025 08:04,Tania,,Justo porwue y se me hace tarde para llevar a demian a la terapia
12/07/2025 08:04,Tania,"➜ Respuesta para usted, 2025-07-12 08:04:47: « No te vayas a pelear »",Claro que si
12/07/2025 08:05,Vicente,,Por favor Daniela !
12/07/2025 08:05,Tania,"➜ Respuesta para usted, 2025-07-12 08:04:47: « No te vayas a pelear »",Ahorira me va escuchar ese pinche rábano
12/07/2025 08:05,Tania,,Ni madres
12/07/2025 08:05,Vicente,,Está bien que hemos platicado de cambiarnos pero jaja todavía no empezamos ni a ver!!
12/07/2025 08:05,Vicente,,Pero si me enojé porque le dije luego luego se ven las ganas de chingar
12/07/2025 08:43,Tania,,Laughed at “Está bien que hemos platicado de cambiarnos pero jaja todavía no empezamos ni a ver!!”
12/07/2025 08:43,Tania,"➜ Respuesta para usted, 2025-07-12 08:05:51: « Pero si me enojé porque le dije luego luego se ven las ganas de chingar »",Si pues nada más andaba buscando
12/07/2025 08:43,Tania,,Pero mira
12/07/2025 08:43,Tania,,Lo mal que se ve soo el puede hacer su desvergue
12/07/2025 08:44,Tania,,Pinche hoyo
12/07/2025 08:44,Tania,,Joto*
12/07/2025 08:52,Vicente,,"Por otro lado la vendiste rápido, que bueno"
12/07/2025 08:52,Vicente,,Jaja ahora no necesitamos una sino 2 cabeceras 🥹
12/07/2025 08:53,Tania,,Si 😎
12/07/2025 08:53,Tania,,Al menos son cabeceras y no recámaras
12/07/2025 08:53,Vicente,,"Detalles, al rato diremos que con buró"
12/07/2025 08:53,Vicente,,Y se convierte en un bote de basura de inoxidable con despachador de bolsas y un aromatizante de regalo
12/07/2025 08:54,Vicente,,"Que por cierto, me encanta"
12/07/2025 08:54,Tania,,🤣
12/07/2025 10:03,Vicente,,Oye
12/07/2025 10:03,Vicente,,Me llamo Luis de nuevo
12/07/2025 10:04,Vicente,,Que hay un segundo camión de mudanza
12/07/2025 10:04,Vicente,,Y que están en el departamento
13/07/2025 15:30,Vicente,,
13/07/2025 16:07,Tania,,"Estamos bien. Solo que, volver a empezar requiere mucho.
Gracias por decidir respetar el hecho de que es verdad, no quiero que nos busques, tampoco que me persigas. Por eso nos fuimos y no dije a dónde. Bien sabes tú por qué. 

Espero sinceramente que estés bien, que sanes, y que en el futuro puedas hacer las cosas de forma distinta, para que logres ser feliz. No te deseo absolutamente nada malo, a pesar de todo.

No entiendo qué tienen que ver Pánuco o Natasha en todo esto… aunque sé que eso es algo que tú nunca vas a superar. Y está bien. De hecho, esa misma actitud fue la que no nos dejó avanzar.

Yo tampoco pude superar todo el daño, tanto físico como emocional, que ocurrió. No solo a mí, sino también a Demian. No se trata de perdonar o no. Se trata de que, cuando algo se rompe, por más que se intente reparar, nunca vuelve a ser igual.

Deseo que algún día puedas entender que eso que decías que era amor… no lo era. El amor no funciona así. Uno no hiere, con intención y decisión, a quienes dice amar.

Por favor, dime dónde prefieres que deje las llaves de la camioneta para que las puedas recoger, y también dónde quieres que la deje. Al final, no es mía. Nunca lo fue. Ni tuya."
29/07/2025 18:26,Tania,,"Hola Vicente, Te escribo de nuevo porque ya han pasado varios días y aún no me has indicado dónde o con quién dejar la camioneta y las llaves. No quiero verme en ningún malentendido legal similar al que ya he pasado antes por bruta…  aunque me digas que la camioneta es mía, no está a mi nombre, y no me interesa generarme más problemas.
Quisiera aclarar esto lo antes posible, entonces, puedes por favor decirme si debo entregarla a alguien en específico? o dónde la dejo?si prefieres que se la entregue personalmente a alguien?

…No busco conflictos, solo cerrar quiero cerrar este tema. Gracias!"
29/07/2025 21:56,Vicente,,"Hola, no hay razones para mal entendidos legales. Mientras sea útil para la movilidad de Demian, y tuya, y siempre que estés de acuerdo, el vehículo lo dispuso la empresa para ustedes. Ponerla a tu nombre es algo que no controlo, y no he hablado con Diego desde hace unas semanas, pero si hay que hacerlo se hace. Si no estás de acuerdo, nos organizamos para que se entregue."
